"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"MARG_non_workingday_light_lunch_time_saving_count","0.50000000","0.00000000","0.20000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.06666667","0.25000000","0.09090909"
"HCC_allDay_computer_lunch_time_saving_count","3.750000","4.000000","2.400000","3.000000","2.857143","2.225806","1.750000","2.200000","1.000000","1.133333","2.000000","2.000000"
"HCC_allDay_light_lunch_time_saving_count","0.5000000","0.0000000","1.0000000","1.0000000","0.6428571","0.5483871","1.5000000","1.0000000","1.0000000","0.8666667","1.2500000","0.8181818"
"HCC_workingday_computer_lunch_time_saving_count","3.750000","4.000000","2.400000","3.000000","2.857143","2.225806","1.750000","2.200000","1.000000","1.133333","2.000000","2.000000"
"HCC_workingday_light_lunch_time_saving_count","0.2500000","0.0000000","1.0000000","1.0000000","0.5000000","0.3548387","1.5000000","0.4000000","1.0000000","0.7333333","0.7500000","0.6363636"
"HCC_non_workingday_computer_lunch_time_saving_count","0","0","0","0","0","0","0","0","0","0","0","0"
"HCC_non_workingday_light_lunch_time_saving_count","0.2500000","0.0000000","0.0000000","0.0000000","0.1428571","0.1935484","0.0000000","0.6000000","0.0000000","0.1333333","0.5000000","0.1818182"
"UX_allDay_computer_lunch_time_saving_count","5.250000","5.000000","6.600000","6.000000","4.714286","3.806452","3.375000","5.400000","4.000000","4.533333","3.250000","4.181818"
"UX_allDay_light_lunch_time_saving_count","1.0000000","0.0000000","0.8000000","0.0000000","1.1428571","1.1290323","0.7500000","1.2000000","0.3333333","1.0000000","0.7500000","1.2727273"
"UX_workingday_computer_lunch_time_saving_count","3.750000","3.000000","4.600000","4.000000","3.142857","2.838710","2.500000","3.600000","2.000000","2.733333","1.750000","2.363636"
"UX_workingday_light_lunch_time_saving_count","0.7500000","0.0000000","0.6000000","0.0000000","1.0000000","0.9677419","0.7500000","0.6000000","0.3333333","0.9333333","0.5000000","1.2727273"
"UX_non_workingday_computer_lunch_time_saving_count","1.5000000","2.0000000","2.0000000","2.0000000","1.5714286","0.9677419","0.8750000","1.8000000","2.0000000","1.8000000","1.5000000","1.8181818"
"UX_non_workingday_light_lunch_time_saving_count","0.25000000","0.00000000","0.20000000","0.00000000","0.14285714","0.16129032","0.00000000","0.60000000","0.00000000","0.06666667","0.25000000","0.00000000"
"MARG_allDay_hvac_on_duration","1.1370968","1.8928571","3.9500000","2.4642857","1.0126263","6.3247664","1.1759259","4.4024390","3.2857143","0.6761905","8.0357143","9.5625000"
"MARG_workingday_hvac_on_duration","0.9047619","1.2500000","3.3181818","2.0500000","0.9080882","7.6875000","1.5067568","2.9814815","3.4833333","0.6323529","8.0394737","9.0509259"
"MARG_non_workingday_hvac_on_duration"," 1.6250000"," 3.5000000"," 5.6875000"," 3.5000000"," 1.2419355"," 3.2689394"," 0.4558824"," 7.1428571"," 2.7916667"," 0.7567568"," 8.0277778","10.8181818"
"HCC_allDay_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
"HCC_workingday_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
"HCC_non_workingday_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
"UX_allDay_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
"UX_workingday_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
"UX_non_workingday_hvac_on_duration","0","0","0","0","0","0","0","0","0","0","0","0"
